"","Anexo","cod_orgao","nom_orgao","mes","ano","pg_mes","lim_sq_sd","pg_sd","cred_sd","a_liq_sd","liq_a_pg_sd","nome_orgao","lim_pag"
"26","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",5,"2019",221965.462204693,196436.72257,911231.072475121,700855.04016,1352407.85337636,396822.529658349,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",1125220
"27","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",6,"2019",200236.027686243,111924.9159,1111467.10016136,615264.72414,1256131.96028906,373528.98726462,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",1421331
"28","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",7,"2019",219861.696076696,89740.20525,1331328.79623806,534387.46445,1136394.50954306,354378.60122679,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",1717442
"29","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",8,"2019",184554.36627886,104338.11834,1515883.16251692,525020.47735,1057989.07946393,268965.596495475,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",2013552
"30","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",9,"2019",190566.188714556,167433.17566,1706449.35123148,517257.15598,949403.610736992,326390.44911324,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",2309663
"31","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",10,"2019",213262.525710866,167128.23316,1919711.87694234,391372.317550246,966803.638583153,344850.24680311,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",2605774
"32","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",11,"2019",381353.801207658,663044.02215,2301065.67815,293258.71142,939235.66615856,362776.71657552,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",2901884
"33","Anexo II","24000","MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",12,"2019",801090.573243987,188910.0991,3102156.25139399,35630.0109400002,124718.201382419,170551.193364255,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",3197995
"34","Anexo II","25000","MINISTERIO DA ECONOMIA",2,"2019",944177.12655,104394.4369,1198462.5081,7481241.36988,2277788.99888,131876.04567,"Ministério da Economia",871715
"35","Anexo II","25000","MINISTERIO DA ECONOMIA",3,"2019",276794.09486,88318.6188099999,1475256.60296,7133377.70254,2057686.81141,260641.93886,"Ministério da Economia",1307572
"36","Anexo II","25000","MINISTERIO DA ECONOMIA",4,"2019",369482.60719,138752.5217,1844739.21015,3186910.88745,3026395.55524,282460.43779,"Ministério da Economia",2034001
"37","Anexo II","25000","MINISTERIO DA ECONOMIA",5,"2019",468969.23963,129313.70368,2313708.44978,2557292.63573,2877457.33803,248115.8163,"Ministério da Economia",2760429
"38","Anexo II","25000","MINISTERIO DA ECONOMIA",6,"2019",424083.88597,109609.86801,2737792.33575,2123554.6204,2815469.70229,322055.90779,"Ministério da Economia",3486858
"39","Anexo II","25000","MINISTERIO DA ECONOMIA",7,"2019",481463.86234,165321.55741,3219256.19809,1503341.5135,2581867.7508,363308.88286,"Ministério da Economia",4213287
"40","Anexo II","25000","MINISTERIO DA ECONOMIA",8,"2019",452373.874670001,77611.3555899999,3671630.07276,986996.90744,2375311.97501,464604.25173,"Ministério da Economia",4939716
"41","Anexo II","25000","MINISTERIO DA ECONOMIA",9,"2019",396432.94576,119154.26873,4068063.01852,852686.27318,2077356.40769,601174.1324,"Ministério da Economia",5666145
"42","Anexo II","25000","MINISTERIO DA ECONOMIA",10,"2019",809382.75468,57820.6792399999,4877445.7732,1075890.50873,2174523.47185,149655.7815,"Ministério da Economia",6392574
"43","Anexo II","25000","MINISTERIO DA ECONOMIA",11,"2019",899242.89847,116050.55971,5776688.67167,1047214.02664,2017417.02591,137099.21499,"Ministério da Economia",7119002
"44","Anexo II","25000","MINISTERIO DA ECONOMIA",12,"2019",2969284.18087,238356.24556,8745972.85254,414537.62092,385463.63822,55929.33145,"Ministério da Economia",7845431
"45","Anexo II","26000","MINISTERIO DA EDUCACAO",2,"2019",1413287.17878747,641563.4609,2363057.39314535,14377049.4189586,9267483.46120153,932377.09192,"Ministério da Educação",3077368
"46","Anexo II","26000","MINISTERIO DA EDUCACAO",3,"2019",1367725.81328037,595153.90859,3730783.20642572,13544391.0670747,8742761.55850433,914332.8435,"Ministério da Educação",4316053
"47","Anexo II","26000","MINISTERIO DA EDUCACAO",4,"2019",1459583.27527503,1340406.78755,5190366.48170075,9629859.10750511,9189239.2203322,1160813.41646,"Ministério da Educação",6413860
"48","Anexo II","26000","MINISTERIO DA EDUCACAO",5,"2019",1575790.63695339,1160315.49828,6766157.11865414,7347910.13462853,8896406.9696869,953502.47697,"Ministério da Educação",8511667
"49","Anexo II","26000","MINISTERIO DA EDUCACAO",6,"2019",1473452.45631255,1008912.65545,8239609.57496669,5701382.41697314,8625341.70358946,882793.85988,"Ministério da Educação",10609474
"50","Anexo II","26000","MINISTERIO DA EDUCACAO",7,"2019",1521703.41144752,841634.51322,9761312.98641421,4666492.84901,9155002.74091372,886795.633706409,"Ministério da Educação",12707281
"51","Anexo II","26000","MINISTERIO DA EDUCACAO",8,"2019",1530564.1471538,571212.33755,11291877.133568,3606975.76279,8919977.86126673,1033383.11086,"Ministério da Educação",14805088
"52","Anexo II","26000","MINISTERIO DA EDUCACAO",9,"2019",1351701.16355254,442243.50934,12643578.2971206,4151065.92136082,9384569.60945196,841268.87586,"Ministério da Educação",16902895
"53","Anexo II","26000","MINISTERIO DA EDUCACAO",10,"2019",1857265.14359407,854768.00847,14500843.4407146,2803838.23660819,10679876.4069524,939199.12768,"Ministério da Educação",19000702
"54","Anexo II","26000","MINISTERIO DA EDUCACAO",11,"2019",1898325.85553193,1585302.74618,16399169.2962465,2184907.05046008,10768669.2207163,1174500.15701,"Ministério da Educação",21098509
"55","Anexo II","26000","MINISTERIO DA EDUCACAO",12,"2019",3614370.24328183,1046313.63016,20013539.5395284,1472071.44101,1881905.38542501,459254.54025,"Ministério da Educação",23196315
"56","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",2,"2019",156904.22526,96123.24094,255802.693,5031427.18655,1639804.46354,135647.49284,"Ministério da Justiça e Segurança Pública",418106
"57","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",3,"2019",233702.43551,128056.12244,489505.12851,3333625.80247,1569486.93822,65956.27823,"Ministério da Justiça e Segurança Pública",627159
"58","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",4,"2019",234652.35395,128857.87075,724157.48246,1411325.03591,2224333.2526,79819.02437,"Ministério da Justiça e Segurança Pública",975580
"59","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",5,"2019",222413.99426,76096.97486,946571.47672,879867.40182,2222930.00125,82175.87964,"Ministério da Justiça e Segurança Pública",1324001
"60","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",6,"2019",211368.62466,112004.03373,1157940.10138,752947.0215,2141549.0242,63852.1796,"Ministério da Justiça e Segurança Pública",1672423
"61","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",7,"2019",203416.38473,99904.81469,1361356.48611,759431.3797,2064650.04536,60881.83859,"Ministério da Justiça e Segurança Pública",2020844
"62","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",8,"2019",191491.64551,122115.81531,1552848.13162,542623.04225,1870776.47832,75658.60067,"Ministério da Justiça e Segurança Pública",2369266
"63","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",9,"2019",216451.29855,86881.57894,1769299.43017,732414.68356,1640837.48708,77969.40087,"Ministério da Justiça e Segurança Pública",2717687
"64","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",10,"2019",230393.50577,80881.2604,1999692.93594,509202.98445,1542549.13301,58556.60842,"Ministério da Justiça e Segurança Pública",3066109
"65","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",11,"2019",222886.50811,116656.04584,2222579.44405,1172672.50812,1438008.65125,51458.56306,"Ministério da Justiça e Segurança Pública",3414530
"66","Anexo II","30000","MINISTERIO DA JUSTICA E SEGURANCA PUBLICA",12,"2019",506645.24412,105448.75543,2729224.68817,221991.63126,450597.99159,57106.95535,"Ministério da Justiça e Segurança Pública",3762952
"67","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",2,"2019",38187.64151,35340.52401,68082.38745,607938.75868,139307.33943,11775.74748,"Ministério de Minas e Energia",465648
"68","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",3,"2019",42976.47662,38001.0046,111058.86407,565065.69594,139359.14978,9577.66566,"Ministério de Minas e Energia",698472
"69","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",4,"2019",65466.27933,24336.59204,176525.1434,294089.72365,202385.21086,10942.13024,"Ministério de Minas e Energia",1086511
"70","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",5,"2019",58325.15376,17147.82083,234850.29716,171089.11257,229663.17053,13874.58411,"Ministério de Minas e Energia",1474551
"71","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",6,"2019",36732.66309,10796.85102,271582.96025,149405.51413,210007.86357,12626.91966,"Ministério de Minas e Energia",1862591
"72","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",7,"2019",30470.09731,23774.46818,302053.05756,142177.12786,172860.1546,13535.42841,"Ministério de Minas e Energia",2250631
"73","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",8,"2019",32155.01316,31476.54526,334208.07072,114129.50267,155991.54686,8420.93567,"Ministério de Minas e Energia",2638671
"74","Anexo II","32000","MINISTERIO DE MINAS E ENERGIA",9,"2019",30519.52078,32501.85362,364727.5915,97058.9051999999,137394.61502,8881.29011,"Ministério de Minas e Energia",3026710
